gene,bin,mean_normalized_counts,fraction_detected,n_cells,pseudotime,pseudotime_percentile
Ascl1,81,0.5054322961462864,0.25,32,0.05250470777610536,0.8073833796725363
Ascl1,82,0.28055165073762756,0.15625,32,0.053436528526220724,0.8172690763052208
Ascl1,83,0.6020607313632933,0.4375,32,0.05472940920510003,0.8271547729379054
Ascl1,84,0.19235360072345417,0.25,32,0.05685558327615577,0.83704046957059
Ascl1,85,0.8137601125974685,0.375,32,0.06025537083462772,0.8469261662032747
Ascl1,86,0.9978439786318261,0.375,32,0.06456773886631356,0.8568118628359592
Ascl1,87,1.2639167782472058,0.53125,32,0.07257623400447025,0.8666975594686438
Ascl1,88,1.0025768728863516,0.4375,32,0.08056335200784079,0.8765832561013284
Ascl1,89,1.1326495867495383,0.3125,32,0.08959745021944521,0.886468952734013
Ascl1,90,1.071820761371444,0.28125,32,0.1071315200085631,0.8963546493666976
Ascl1,91,1.329496438745342,0.34375,32,0.14946643207246757,0.9062403459993822
Ascl1,92,0.049131922410388516,0.125,32,0.2578927814876444,0.9161260426320668
Ascl1,93,0.12878854260720107,0.125,32,0.2927194819855192,0.9260117392647513
Ascl1,94,0.25268338377124216,0.09375,32,0.45739215061730115,0.9358974358974359
Ascl1,95,0.02628922352149405,0.03125,32,0.5353071746021729,0.9457831325301205
Ascl1,96,0.039293348421979145,0.03125,32,0.5788866642645688,0.955668829162805
Ascl1,97,0,0,32,0.6097483955513862,0.9655545257954896
Ascl1,98,0.030022096262849456,0.03125,32,0.6326083440412348,0.9754402224281742
Ascl1,99,0,0,32,0.6746074479973074,0.9853259190608588
Ascl1,100,0.006941513583153777,0.03125,32,0.7355573101105116,0.9952116156935433
Hes1,1,20.46862859870689,1,33,0.008315008450185363,0.004942848316342292
Hes1,2,18.063270303973013,1,33,0.016807143036938733,0.01513747296879827
Hes1,3,18.042869591549337,1,33,0.019297837129523727,0.025332097621254247
Hes1,4,15.819216012106505,1,33,0.021768773646141514,0.035526722273710225
Hes1,5,16.792985254524684,0.9696969696969697,33,0.02361197294719931,0.0457213469261662
Hes1,6,14.806169321076716,1,33,0.024740094466878405,0.05591597157862218
Hes1,7,17.4907508287474,1,33,0.025723791030859876,0.06611059623107816
Hes1,8,16.981728922331353,0.9696969696969697,33,0.02678643583887934,0.07630522088353414
Hes1,9,17.14564876168699,1,33,0.027783185702052772,0.08649984553599012
Hes1,10,19.281121406207134,1,33,0.02847643482365652,0.0966944701884461
Hes1,11,13.48679665077085,0.9696969696969697,33,0.02925801560130067,0.10688909484090207
Hes1,12,19.90103456040647,1,33,0.029784000153257863,0.11708371949335805
Hes1,13,17.855955338407686,1,33,0.030314556279739897,0.12727834414581402
Hes1,14,18.102634339464895,1,33,0.03085266206950408,0.13747296879827
Hes1,15,16.088475409704927,1,33,0.03132819929198454,0.14766759345072597
Hes1,16,17.58755301717971,1,33,0.03177350391716678,0.15786221810318196
Hes1,17,19.717837490005206,0.9696969696969697,33,0.032090589412770154,0.16805684275563793
Hes1,18,18.19137227819232,1,33,0.03250010390148368,0.17825146740809392
Hes1,19,17.994717444636454,1,33,0.032843447920107495,0.18844609206054988
Hes1,20,19.677764615963095,1,33,0.033225476824060025,0.19864071671300587
Hes1,21,14.660084961524495,1,33,0.03356329170299936,0.20883534136546184
Hes1,22,15.834805888303213,1,33,0.033876821598699446,0.21902996601791783
Hes1,23,17.982707169556956,1,33,0.0341749189417309,0.2292245906703738
Hes1,24,17.269075914532863,1,33,0.03442976930895895,0.23941921532282978
Hes1,25,20.953979802206703,1,33,0.03473031283637215,0.24961383997528575
Hes1,26,20.827315885480203,1,33,0.03503545453427557,0.2598084646277417
Hes1,27,14.895678751321118,1,33,0.03528721856376664,0.27000308928019773
Hes1,28,19.044818919686907,1,33,0.035495733450794986,0.2801977139326537
Hes1,29,18.131634968425868,1,33,0.035795529951120134,0.29039233858510966
Hes1,30,17.302678340754866,1,33,0.036018793107163986,0.3005869632375657
Hes1,31,18.123925258878906,1,33,0.03632329342547735,0.31078158789002164
Hes1,32,18.017704211106086,1,33,0.03665938250865137,0.3209762125424776
Hes1,33,15.104305719174883,1,33,0.036920902919849195,0.33117083719493356
Hes1,34,15.813947081430934,1,33,0.037180712209986005,0.3413654618473896
Hes1,35,17.544657784549827,1,33,0.03742229046436196,0.35156008649984555
Hes1,36,17.761310841621448,1,33,0.03777211183988282,0.3617547111523015
Hes1,37,16.205397245206537,1,33,0.038040795856697146,0.3719493358047575
Hes1,38,16.152074474335453,1,33,0.03822622895731367,0.3821439604572135
Hes1,39,17.67450935872781,1,32,0.038491481515323514,0.39218412109978373
Hes1,40,18.971909547219813,1,32,0.038746929041181474,0.4020698177324683
Hes1,41,15.987393746474334,1,32,0.03897750836631303,0.4119555143651529
Hes1,42,18.356529157481045,1,32,0.03936579148389517,0.42184121099783756
Hes1,43,18.099045695312522,1,32,0.03961982025406566,0.4317269076305221
Hes1,44,15.502936834914529,1,32,0.039864421079005924,0.4416126042632067
Hes1,45,15.190333853986218,1,32,0.040142447114147106,0.45149830089589127
Hes1,46,13.944296660767346,1,32,0.0403945227388844,0.46138399752857584
Hes1,47,17.25816029635122,1,32,0.04054763486594743,0.4712696941612604
Hes1,48,15.795790167885606,1,32,0.04082130643932847,0.481155390793945
Hes1,49,13.48084581242558,1,32,0.041082345957333635,0.49104108742662955
Hes1,50,15.84727775721657,1,32,0.0413755448524403,0.5009267840593141
Hes1,51,15.117216477833088,1,32,0.0416228075299233,0.5108124806919987
Hes1,52,17.21636070239273,1,32,0.0417945740595377,0.5206981773246834
Hes1,53,12.20005653059024,1,32,0.04204021695776633,0.530583873957368
Hes1,54,15.57447569994214,1,32,0.042379110075272355,0.5404695705900525
Hes1,55,13.879731389952152,1,32,0.04259262945331393,0.5503552672227371
Hes1,56,16.1027463508453,1,32,0.042856389716281584,0.5602409638554218
Hes1,57,16.977159063649612,1,32,0.04308347652806578,0.5701266604881063
Hes1,58,16.673949123943874,0.96875,32,0.04339734147804594,0.5800123571207909
Hes1,59,15.789978179394401,1,32,0.043671170167973575,0.5898980537534755
Hes1,60,13.803036241635564,1,32,0.04394104196009762,0.59978375038616
Hes1,61,14.482975557720662,1,32,0.04426907711589678,0.6096694470188446
Hes1,62,15.233256561173247,1,32,0.04447458242381004,0.6195551436515292
Hes1,63,14.079580065957813,0.96875,32,0.044780068609678744,0.6294408402842138
Hes1,64,15.665536709954148,0.96875,32,0.04507340731934226,0.6393265369168983
Hes1,65,14.988915973608519,1,32,0.04531082992413251,0.6492122335495829
Hes1,66,15.99050583479659,1,32,0.04559341416059682,0.6590979301822675
Hes1,67,14.721593529174433,1,32,0.04589608755266486,0.668983626814952
Hes1,68,15.18204241581935,1,32,0.046210075166656886,0.6788693234476366
Hes1,69,13.710084179812837,1,32,0.046683477550757774,0.6887550200803213
Hes1,70,16.635984577485207,1,32,0.04705700543221022,0.6986407167130059
Hes1,71,14.372144171549543,1,32,0.047383191705377886,0.7085264133456904
Hes1,72,13.19896677111039,0.96875,32,0.0477297963710159,0.718412109978375
Hes1,73,13.837734026806288,1,32,0.04819057723965111,0.7282978066110597
Hes1,74,12.721888530116319,0.96875,32,0.04873644982230882,0.7381835032437443
Hes1,75,11.289553514472251,1,32,0.04905034470446588,0.7480691998764288
Hes1,76,13.577705737289532,0.96875,32,0.04939576656215451,0.7579548965091134
Hes1,77,12.67878992393852,1,32,0.04988861057417274,0.767840593141798
Hes1,78,12.806099230386302,0.96875,32,0.05046289437853513,0.7777262897744825
Hes1,79,14.873590771448413,1,32,0.050960722793626234,0.7876119864071671
Hes1,80,12.071057763198326,1,32,0.05158747906543623,0.7974976830398517
Hes1,81,12.05266976397808,1,32,0.05250470777610536,0.8073833796725363
Hes1,82,13.708547060048927,1,32,0.053436528526220724,0.8172690763052208
Hes1,83,13.38161301129981,1,32,0.05472940920510003,0.8271547729379054
Hes1,84,12.867764944223932,1,32,0.05685558327615577,0.83704046957059
Hes1,85,13.660377821216237,1,32,0.06025537083462772,0.8469261662032747
Hes1,86,13.31815290205168,1,32,0.06456773886631356,0.8568118628359592
Hes1,87,19.00662125376104,0.96875,32,0.07257623400447025,0.8666975594686438
Hes1,88,16.563574915744987,0.96875,32,0.08056335200784079,0.8765832561013284
Hes1,89,18.520799720239776,0.9375,32,0.08959745021944521,0.886468952734013
Hes1,90,9.605913731316466,0.90625,32,0.1071315200085631,0.8963546493666976
Hes1,91,8.821674003907855,0.8125,32,0.14946643207246757,0.9062403459993822
Hes1,92,7.2129982976767675,0.96875,32,0.2578927814876444,0.9161260426320668
Hes1,93,5.677338832039154,0.65625,32,0.2927194819855192,0.9260117392647513
Hes1,94,0.4638006872757631,0.21875,32,0.45739215061730115,0.9358974358974359
Hes1,95,0.2317932627858473,0.1875,32,0.5353071746021729,0.9457831325301205
Hes1,96,0.02911038658593385,0.03125,32,0.5788866642645688,0.955668829162805
Hes1,97,0.08123569024361767,0.09375,32,0.6097483955513862,0.9655545257954896
Hes1,98,0.13100687051044133,0.1875,32,0.6326083440412348,0.9754402224281742
Hes1,99,0.10528184860111163,0.1875,32,0.6746074479973074,0.9853259190608588
Hes1,100,0.10639303513630587,0.3125,32,0.7355573101105116,0.9952116156935433
Hes6,1,0.3006595758006137,0.21212121212121213,33,0.008315008450185363,0.004942848316342292
Hes6,2,0.2958614017184994,0.2727272727272727,33,0.016807143036938733,0.01513747296879827
Hes6,3,0.5719457716670104,0.42424242424242425,33,0.019297837129523727,0.025332097621254247
Hes6,4,0.6112039775112508,0.48484848484848486,33,0.021768773646141514,0.035526722273710225
